,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
0,14717373,CHEMBL3295803,Inhibition of human recombinant PARP-1 after 1 hr by ELISA,B,CHEMBL3291336,=,nM,248.0,CHEMBL3105,Homo sapiens,IC50,uM,0.248
1,513674,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108702,=,nM,20.0,CHEMBL3105,Homo sapiens,IC50,nM,20.0
2,514949,CHEMBL761608,Concentration required to inhibit human recombinant Poly (ADP-ribose) polymerase 1 was determined using dose-response inhibition,B,CHEMBL418816,=,nM,3000.0,CHEMBL3105,Homo sapiens,IC50,nM,3000.0
3,514986,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108968,=,nM,30.0,CHEMBL3105,Homo sapiens,IC50,nM,30.0
4,514989,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL430707,=,nM,35.0,CHEMBL3105,Homo sapiens,IC50,nM,35.0
5,516275,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL321638,=,nM,15.0,CHEMBL3105,Homo sapiens,IC50,nM,15.0
6,516278,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108316,=,nM,50.0,CHEMBL3105,Homo sapiens,IC50,nM,50.0
7,520126,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL322133,=,nM,15.0,CHEMBL3105,Homo sapiens,IC50,nM,15.0
8,521403,CHEMBL761608,Concentration required to inhibit human recombinant Poly (ADP-ribose) polymerase 1 was determined using dose-response inhibition,B,CHEMBL326660,=,nM,30.0,CHEMBL3105,Homo sapiens,IC50,nM,30.0
9,521475,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL449084,=,nM,300.0,CHEMBL3105,Homo sapiens,IC50,nM,300.0
10,521478,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL321703,=,nM,15.0,CHEMBL3105,Homo sapiens,IC50,nM,15.0
11,521481,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL322268,=,nM,200.0,CHEMBL3105,Homo sapiens,IC50,nM,200.0
12,522760,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108341,=,nM,20.0,CHEMBL3105,Homo sapiens,IC50,nM,20.0
13,526628,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL110729,=,nM,900.0,CHEMBL3105,Homo sapiens,IC50,nM,900.0
14,528060,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108623,=,nM,20.0,CHEMBL3105,Homo sapiens,IC50,nM,20.0
15,528067,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL432406,=,nM,150.0,CHEMBL3105,Homo sapiens,IC50,nM,150.0
16,529460,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL421605,=,nM,80.0,CHEMBL3105,Homo sapiens,IC50,nM,80.0
